Skeleton	SMILES	SMARTS	Skeleton_qid
Ajmalicine	CC1OCCC2CC3C4=C(CCN3CC12)C5=C(C=CC=C5)N4	[#6]-[#6]1-[#8]-[#6]-[#6]-[#6]2-[#6]-[#6]3-[#6]4:[#6](-[#6]-[#6]-[#7]-3-[#6]-[#6]-1-2):[#6]1:[#6](:[#6]:[#6]:[#6]:[#6]:1):[#7H]:4	Q131287066
Ajmalicine spirooxindole	CC1C2CN(C3CC2CCO1)CCC43C5=C(NC4=O)C=CC=C5	[#6]-[#6]1-[#6]2-[#6]-[#7]3-[#6](-[#6]-[#6]-2-[#6]-[#6]-[#8]-1)-[#6]1(-[#6]-[#6]-3)-[#6]2:[#6](-[#7]-[#6]-1=[#8]):[#6]:[#6]:[#6]:[#6]:2	Q131287129
Ajmaline	CCC1CN2C3C(C45CC2C(C5)C1C3)NC6=C4C=CC=C6	[#6]-[#6]-[#6]1-[#6]-[#7]2-[#6]3-[#6]4-[#6]5(-[#6]-[#6]-2-[#6](-[#6]-5)-[#6]-1-[#6]-3)-[#6]1:[#6](-[#7]-4):[#6]:[#6]:[#6]:[#6]:1	Q131287132
Akagerane	CCCC1CC2NCCC3=C2N(CC1)C4=C3C=CC=C4	[#6]-[#6]-[#6]-[#6]1-[#6]-[#6]2-[#7]-[#6]-[#6]-[#6]3:[#6]-2:[#7](-[#6]-[#6]-1):[#6]1:[#6]:3:[#6]:[#6]:[#6]:[#6]:1	Q131287139
Correantane	CCC1CC2C(N(C3=CC=CC=C34)CC1C)=C4CCN2	[#6]-[#6]-[#6]1-[#6]-[#6]2-[#6]3:[#7](:[#6]4:[#6]:[#6]:[#6]:[#6]:[#6]:4:[#6]:3-[#6]-[#6]-[#7]-2)-[#6]-[#6]-1-[#6]	Q131287141
Akuammicine	CCC1C2CC(C34C(N(CC4)C1)C2)NC5=C3C=CC=C5	[#6]-[#6]-[#6]1-[#6]2-[#6]-[#6]3-[#6]4(-[#6](-[#7](-[#6]-[#6]-4)-[#6]-1)-[#6]-2)-[#6]1:[#6](-[#7]-3):[#6]:[#6]:[#6]:[#6]:1	Q131287144
Akuammiline	CCC1CN2CCC34C(C=CC=C5)=C5NC3C2CC1C4	[#6]-[#6]-[#6]1-[#6]-[#7]2-[#6]-[#6]-[#6]34-[#6]5:[#6]:[#6]:[#6]:[#6]:[#6]:5-[#7]-[#6]-3-[#6]-2-[#6]-[#6]-1-[#6]-4	Q131287147
Seco-akuammiline	CCC1CNC2CC1CC3(CCO4)C24NC5=C3C=CC=C5	[#6]-[#6]-[#6]1-[#6]-[#7]-[#6]2-[#6]-[#6]-1-[#6]-[#6]13-[#6]-[#6]-[#8]-[#6]-2-1-[#7]-[#6]1:[#6]-3:[#6]:[#6]:[#6]:[#6]:1	Q131287150
Arbornane	CCC1CN2CCC3=C4N(CCC1C24)C5=CC=CC=C35	[#6]-[#6]-[#6]1-[#6]-[#7]2-[#6]-[#6]-[#6]3:[#6]4:[#7](-[#6]-[#6]-[#6]-1-[#6]-2-4):[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:3:1	Q131287152
Aspidofractane	C1(NC23CCC4(C5C36CCN5CCC4)CC2)=C6C=CC=C1	[#6]12-[#7]-[#6]34-[#6]-[#6]-[#6]5(-[#6]6-[#6]-3(-[#6]-[#6]-[#7]-6-[#6]-[#6]-[#6]-5)-[#6]:1:[#6]:[#6]:[#6]:[#6]:2)-[#6]-[#6]-4	Q131287154
Aspidosperma	CCC12CCC(C34C1N(CCC2)CC4)NC5=C3C=CC=C5	[#6]-[#6]-[#6]12-[#6]-[#6]-[#6]3-[#6]4(-[#6]-1-[#7](-[#6]-[#6]-[#6]-2)-[#6]-[#6]-4)-[#6]1:[#6](-[#7]-3):[#6]:[#6]:[#6]:[#6]:1	Q131287155
Cadambane	C1(NC2=C3CCN4CCC(COCC5)C5CC24)=C3C=CC=C1	[#6]12:[#7H]:[#6]3:[#6](-[#6]-[#6]-[#7]4-[#6]-[#6]-[#6]5-[#6]-[#8]-[#6]-[#6]-[#6]-5-[#6]-[#6]-3-4):[#6]:1:[#6]:[#6]:[#6]:[#6]:2	Q131287157
Camptothecine	O=C1CC(C=C2N3CC4=CC5=C(N=C24)C=CC=C5)=C(CO1)C3=O	[#8]=[#6]1-[#6]-[#6]2:[#6]:[#6]3:[#7](-[#6]-[#6]4:[#6]:[#6]5:[#6](:[#7]:[#6]:4-3):[#6]:[#6]:[#6]:[#6]:5):[#6](:[#6]:2-[#6]-[#8]-1)=[#8]	Q131287158
Seco-camptothecine	CC1=C(C=C2C3=NC4=C(C=C3CN2C1=O)C=CC=C4)C(CC)C	[#6]-[#6]1:[#6](:[#6]:[#6]2-[#6]3:[#7]:[#6]4:[#6](:[#6]:[#6]:3-[#6]-[#7]:2:[#6]:1=[#8]):[#6]:[#6]:[#6]:[#6]:4)-[#6](-[#6]-[#6])-[#6]	Q131287159
Chanofruticosinate	O=C(C1)C2CN(CCC3)C4C13CCC5C42C(C=CC=C6)=C6N5	[#8]=[#6]1-[#6]-[#6]23-[#6]-[#6]-[#6]-[#7]4-[#6]-[#6]-1-[#6]1(-[#6]-4-2)-[#6](-[#6]-[#6]-3)-[#7]-[#6]2:[#6]-1:[#6]:[#6]:[#6]:[#6]:2	Q131287160
Chippiine	CCC1CC2CC(C1NCC3)C4=C3C5=C(C=CC=C5)N4C2	[#6]-[#6]-[#6]1-[#6]-[#6]2-[#6]-[#6]3-[#6]-1-[#7]-[#6]-[#6]-[#6]1:[#6]-3:[#7](:[#6]3:[#6]:1:[#6]:[#6]:[#6]:[#6]:3)-[#6]-2	Q131287161
Cinchona	CCC1C(CCN2C1)CC2CC3=CC=NC4=C3C=CC=C4	[#6]-[#6]-[#6]1-[#6]2-[#6]-[#6]-[#7](-[#6]-1)-[#6](-[#6]-2)-[#6]-[#6]1:[#6]:[#6]:[#7]:[#6]2:[#6]:1:[#6]:[#6]:[#6]:[#6]:2	Q131287162
Indolocinchona	CCC1CN2C(CC1CC2)C3=C(C4=CC=CC=C4N3)CC	[#6]-[#6]-[#6]1-[#6]-[#7]2-[#6](-[#6]-[#6]-1-[#6]-[#6]-2)-[#6]1:[#6](:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#7H]:1)-[#6]-[#6]	Q131287163
Condylocarpane	CCC1C2CC(C34C1N(CC4)CC2)NC5=C3C=CC=C5	[#6]-[#6]-[#6]1-[#6]2-[#6]-[#6]3-[#6]4(-[#6]-1-[#7](-[#6]-[#6]-4)-[#6]-[#6]-2)-[#6]1:[#6](-[#7]-3):[#6]:[#6]:[#6]:[#6]:1	Q131287164
Goniomane	C12=CC=CC=C1C3(CCN4CCC5CC3)C4C5CN2	[#6]12:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6]13-[#6]-[#6]-[#7]4-[#6]-[#6]-[#6](-[#6]-[#6]-1)-[#6](-[#6]-3-4)-[#6]-[#7]-2	Q131287165
Corynantheane	CCC1C(CC)CN(C2C1)CCC3=C2NC4=CC=CC=C43	[#6]-[#6]-[#6]1-[#6](-[#6]-[#6])-[#6]-[#7]2-[#6](-[#6]-1)-[#6]1:[#6](-[#6]-[#6]-2):[#6]2:[#6](:[#7H]:1):[#6]:[#6]:[#6]:[#6]:2	Q131287166
