Cluster index	Plant 1	GNPS annotation	Scaffold type
2322	Mitragyna rotundifolia	Corynoxeine	Corynantheane spirooxindole
2754	Mitragyna rotundifolia		
3114	Mitragyna rotundifolia		
3210	Mitragyna rotundifolia		
2784	Mitragyna rotundifolia		
2752	Mitragyna hirsuta	Isocorynoxine	Corynantheane spirooxindole
1604	Stemmadenia pubescens		
2400	Mitragyna rotundifolia		
2882	Mitragyna rotundifolia		
3660	Stemmadenia pubescens		
1386	Rauvolfia littoralis		
1521	Rauvolfia tetraphylla		
2279	Rauvolfia tetraphylla	Carapanaubine	Ajmalicine spirooxindole
2005	Rauvolfia littoralis	Carapanaubine	Ajmalicine spirooxindole
1654	Cephaelis lecomtei		
3456	Stemmadenia pubescens		
2956	Mitragyna rotundifolia		
2928	Mitragyna hirsuta		
1923	Cephaelis lecomtei		
3564	Tabernaemontana granatum		
1867	Uncaria scandens		
3668	Mitragyna hirsuta		
2725	Rauvolfia littoralis		
734	Rauvolfia tetraphylla		
1706	Tabernaemontana bovina		
1818	Tabernaemontana bovina	7α-voacangine hydroxyindolenine	Iboga
1125	Rauvolfia micrantha		
2264	Mitragyna rotundifolia	Methyl-(16Z)-9-hydroxy-16-(methoxymethylene)-2-oxocoryxan-17-oate	Corynantheane spirooxindole
2628	Mitragyna rotundifolia		
2030	Tabernaemontana granatum		
1798	Stemmadenia pubescens		
2522	Rauvolfia littoralis		
1649	Tabernaemontana granatum		
3081	Stemmadenia pubescens		
2256	Stemmadenia pubescens		
2555	Rauvolfia littoralis	Isoreserpiline	Ajmalicine
3306	Mitragyna rotundifolia		
3796	Mitragyna hirsuta		
