Cluster index	Biosource	GNPS annotation	SMILES of the GNPS annotated ion	Skeleton type
2057	Uncaria scandens	Uncarine F	C[C@H]1[C@@H]2CN3CC[C@]4([C@H]3C[C@@H]2C(=CO1)C(=O)OC)C5=CC=CC=C5NC4=O	Ajmalicine spirooxindole
2322	Mitragyna rotundifolia	Corynoxeine	O=C(OC)C(=COC)C1CC2N(CCC32C(=O)NC=4C=CC=CC43)CC1C=C	Corynantheane spirooxindole
2273	Uncaria scandens			
1809	Rauvolfia littoralis	Rauwolscine	COC(=O)C1C(O)CCC2CN3CCC4=C(NC5=CC=CC=C45)C3CC12	Yohimbinoid
2754	Mitragyna rotundifolia			
2220	Mitragyna rotundifolia			
3114	Mitragyna rotundifolia			
3210	Mitragyna rotundifolia			
2859	Uncaria scandens			
2784	Mitragyna rotundifolia			
2269	Mitragyna hirsuta	Isomitraphylline	C[C@H]1[C@H]2CN3CC[C@@]4([C@@H]3C[C@@H]2C(=CO1)C(=O)OC)C5=CC=CC=C5NC4=O	Ajmalicine spirooxindole
2752	Mitragyna hirsuta	Isocorynoxine	O=C1NC2=CC=CC=C2[C@@]13CN4[C@](C[C@H](/C(C(OC)=O)=C\\OC)[C@H](CC)C4)([H])C3	Corynantheane spirooxindole
2653	Mitragyna hirsuta			
1595	Tabernaemontana bovina	Tabernaemontanine	CN1C(C2([H])C(OC)=O)CC3=C(C(CC2[C@H](CC)C1)=O)NC4=C3C=CC=C4	Vobasine
1604	Stemmadenia pubescens			
1119	Stemmadenia pubescens			
2400	Mitragyna rotundifolia			
2882	Mitragyna rotundifolia			
3660	Stemmadenia pubescens			
3470	Mitragyna hirsuta			
2172	Rauvolfia littoralis			
1741	Uncaria scandens	Pumiloside	OC[C@H]1O[C@@H](O[C@@H]2O\\C=C3/[C@@H](C[C@@H]4N(CC5=C(O)C6=CC=CC=C6N=C45)C3=O)[C@H]2C=C)[C@H](O)[C@@H](O)[C@@H]1O	Camptothecin
1521	Rauvolfia tetraphylla			
2469	Rauvolfia tetraphylla			
1395	Strychnos thorelii			
2279	Rauvolfia tetraphylla	Carapanaubine	COC(C([C@]1(C2)[H])=CO[C@H]([C@@]1(CN3CCC4(C(NC(C=C5OC)=C4C=C5OC)=O)[C@]23[H])[H])C)=O	Ajmalicine spirooxindole
702	Rauvolfia tetraphylla			
2237	Rauvolfia littoralis			
3602	Mitragyna hirsuta			
